run,step,simulation_seconds,physics_step_ms,stress_solve_ms,frame_host_ms,bodies,awake_bodies,splits_total,contacts_total,resim_passes,correction_status,contacts_frame,projectiles_active,bonds_broken,stress_iterations,stress_converged,observation_ms,gpu_render_submit_and_export_ms,logical_clusters,native_dynamic_bodies,native_kinematic_bodies,active_dynamic_bodies,active_kinematic_bodies,contact_pairs,contact_pairs_with_contacts,solver_rows,stress_active_nodes,stress_active_bonds,stress_islands,graph_d2h_bytes,pre_solve_pairs,simulation_start_ns,simulation_end_ns,process_cpu_ms,complete_step_ms,command_ms,completion_ms,complete_start_ns,complete_end_ns,phase_output_start_ns,phase_output_end_ns,stress_passes,post_correction_bonds_broken,contact_reuse_fallbacks
idle-256-A-before-0,57,0.96666669845581055,1.3926879999999999,0,1.668649,256,0,0,0,0,0,0,0,0,0,1,0.21510199999999999,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339056366980,62339057764114,2.2984559999999998,1.609834,0.00019699999999999999,0.21694900000000006,62339056366803,62339057976216,0,0,1,0,0
idle-256-A-before-0,58,0.98333340883255005,1.3982060000000001,0,1.7516830000000001,256,0,0,0,0,0,0,0,0,0,1,0.22698699999999999,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339058050068,62339059452235,2.2499609999999999,1.626938,0.00017000000000000001,0.22856199999999993,62339058049877,62339059676432,0,0,1,0,0
idle-256-A-before-0,59,1,1.3485119999999999,0,1.659065,256,0,0,0,0,0,0,0,0,0,1,0.21285599999999999,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339059816246,62339061168763,2.0336120000000002,1.5630470000000001,0.00018699999999999999,0.21434800000000021,62339059816060,62339061378710,0,0,1,0,0
idle-256-A-before-0,60,1.0166667699813843,1.3466320000000001,0,1.68364,256,0,0,0,0,0,0,0,0,0,1,0.21731,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339061489727,62339062840005,2.0814550000000001,1.565231,0.000163,0.21843600000000007,62339061489550,62339063054375,0,0,1,0,0
idle-256-A-before-0,61,1.033333420753479,1.4182060000000001,0,1.9235409999999999,256,0,0,0,0,0,0,0,0,0,1,0.35156700000000002,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339063208658,62339064630670,2.218842,1.769639,0.000214,0.35121899999999995,62339063208460,62339064977380,0,0,1,0,0
idle-256-A-before-0,62,1.0500000715255737,1.468451,0,1.744955,256,0,0,0,0,0,0,0,0,0,1,0.15815100000000001,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339065147240,62339066620843,2.369189,1.62948,0.00025399999999999999,0.16077500000000011,62339065146979,62339066776055,0,0,1,0,0
idle-256-A-before-0,63,1.0666667222976685,1.364906,0,1.680326,256,0,0,0,0,0,0,0,0,0,1,0.21746699999999999,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339066906972,62339068275867,2.2336390000000002,1.5839939999999999,0.00025999999999999998,0.21882800000000002,62339066906742,62339068490291,0,0,1,0,0
idle-256-A-before-0,64,1.0833333730697632,1.3782509999999999,0,1.70932,256,0,0,0,0,0,0,0,0,0,1,0.231928,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339068601976,62339069984165,2.189721,1.6115759999999999,0.00016100000000000001,0.23316399999999993,62339068601803,62339070212990,0,0,1,0,0
idle-256-A-before-0,65,1.1000000238418579,1.370862,0,1.7018230000000001,256,0,0,0,0,0,0,0,0,0,1,0.21490500000000001,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339070326356,62339071701242,2.107002,1.5873440000000001,0.00016100000000000001,0.21632099999999999,62339070326182,62339071913140,0,0,1,0,0
idle-256-A-before-0,66,1.1166666746139526,1.3376749999999999,0,1.660595,256,0,0,0,0,0,0,0,0,0,1,0.21186199999999999,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339072042720,62339073384234,2.137365,1.551104,0.000173,0.21325600000000011,62339072042533,62339073593241,0,0,1,0,0
