run,step,complete_step_ms,command_ms,physics_step_ms,completion_ms,resim_passes,stress_passes,contacts_frame,bonds_broken,stress_iterations
idle-256-B-0,125.0,1.213373,0.000214,1.043465,0.169694,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,126.0,1.429282,0.000203,1.251984,0.177095,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,127.0,1.274932,0.000204,1.102022,0.1727059999999998,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,128.0,1.292327,0.000218,1.085195,0.20691400000000004,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,129.0,1.409697,0.000234,1.234362,0.17510099999999995,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,130.0,1.487132,0.000271,1.277021,0.20984000000000003,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,131.0,1.496343,0.000251,1.325235,0.17085700000000004,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,132.0,1.371344,0.00022,1.215123,0.15600099999999983,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,133.0,1.409043,0.00017,1.198336,0.21053699999999997,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,134.0,1.437337,0.000177,1.279909,0.15725100000000003,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,135.0,1.46353,0.000174,1.243956,0.21940000000000004,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,136.0,1.339662,0.000261,1.183482,0.15591899999999992,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,137.0,1.239921,0.000171,1.095247,0.14450300000000005,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,138.0,1.646011,0.000268,1.486456,0.15928699999999996,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,139.0,1.522825,0.000209,1.329911,0.19270500000000013,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,140.0,1.490401,0.000194,1.319459,0.17074800000000012,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,141.0,1.554558,0.000298,1.384026,0.17023400000000022,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,142.0,1.556079,0.000229,1.387509,0.16834099999999985,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,143.0,1.373787,0.0002,1.199412,0.1741750000000002,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,144.0,1.482788,0.000185,1.286295,0.19630799999999993,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,145.0,1.467898,0.00022,1.309644,0.15803399999999979,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,146.0,1.497469,0.000256,1.337017,0.160196,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,147.0,1.402389,0.000179,1.233715,0.16849500000000028,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,148.0,1.425952,0.000408,1.249969,0.17557500000000004,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,149.0,1.526838,0.000383,1.348768,0.17768699999999993,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,150.0,1.591433,0.000198,1.424834,0.16640100000000024,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,151.0,1.565577,0.000295,1.386205,0.17907700000000015,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,152.0,1.589061,0.000231,1.419759,0.16907099999999997,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,153.0,1.481443,0.000233,1.310753,0.17045700000000008,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,154.0,1.5001,0.000232,1.333997,0.16587099999999988,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,155.0,1.505425,0.000203,1.295597,0.20962499999999995,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,156.0,1.568172,0.000193,1.388382,0.17959699999999978,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,157.0,1.421634,0.000181,1.264864,0.1565890000000001,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,158.0,1.557837,0.000194,1.360149,0.19749399999999984,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,159.0,1.558189,0.000156,1.383561,0.17447199999999996,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,160.0,1.520882,0.000294,1.347665,0.17292300000000016,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,161.0,1.59547,0.000208,1.402414,0.1928479999999999,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,162.0,1.584921,0.00022,1.410553,0.17414799999999997,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,163.0,1.615538,0.000185,1.392544,0.2228089999999998,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,164.0,1.528586,0.000186,1.353447,0.17495299999999991,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,165.0,1.536675,0.000268,1.327829,0.20857800000000015,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,166.0,1.635764,0.000166,1.457198,0.1783999999999999,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,167.0,1.531622,0.000199,1.33463,0.196793,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,168.0,1.567535,0.000268,1.396044,0.1712229999999999,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,169.0,1.449518,0.000274,1.280981,0.16826300000000005,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,170.0,1.555092,0.00021,1.349542,0.20533999999999986,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,171.0,1.450295,0.000221,1.278189,0.17188499999999984,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,172.0,1.561518,0.000339,1.390223,0.17095599999999989,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,173.0,1.60874,0.000191,1.379073,0.229476,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,174.0,1.903781,0.000211,1.683932,0.219638,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,175.0,1.497262,0.000243,1.340073,0.15694600000000003,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,176.0,1.546313,0.000213,1.352744,0.19335600000000008,0.0,1.0,0.0,0.0,0.0
